AdultAge,Workclass,Education,Martial_Status,Relationship,Race,Sex,Continent,Target
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,Europe, >50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, HS-grad, Divorced, Unmarried, White, Female,North America, <=50K
>40 and <=50, Local-gov, Masters, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Federal-gov, HS-grad, Married-civ-spouse, Husband, Black, Male,North America, >50K
>60 and <=70, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Self-emp-not-inc, 10th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, 5th-6th, Married-civ-spouse, Husband, White, Male,Antarctica, >50K
<=25, Private, Bachelors, Never-married, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, HS-grad, Divorced, Own-child, Asian-Pac-Islander, Female,Asia, <=50K
>40 and <=50, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Divorced, Not-in-family, White, Male,North America, >50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Some-college, Married-civ-spouse, Other-relative, Asian-Pac-Islander, Female,Europe, <=50K
>25 and <=30, Private, Prof-school, Never-married, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Self-emp-inc, Doctorate, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Self-emp-inc, Prof-school, Married-civ-spouse, Husband, White, Male,North America, >50K
>30 and <=40, Self-emp-not-inc, Bachelors, Divorced, Unmarried, Asian-Pac-Islander, Male,Asia, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Wife, White, Female,North America, <=50K
<=25, Private, HS-grad, Never-married, Own-child, White, Male,North America, <=50K
>70 and <=80,Never-worked, HS-grad, Married-civ-spouse, Husband, White, Male,North America, >50K
>50 and <=60, Private, HS-grad, Separated, Unmarried, White, Female,North America, <=50K
>25 and <=30, Private, Assoc-acdm, Married-civ-spouse, Husband, White, Male,North America, <=50K
>50 and <=60, Private, 9th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Assoc-acdm, Never-married, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Private, 10th, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50,Never-worked, 5th-6th, Married-civ-spouse, Husband, White, Male,North America, <=50K
>25 and <=30, Private, Some-college, Separated, Not-in-family, White, Female,North America, <=50K
>30 and <=40, Local-gov, Masters, Never-married, Not-in-family, White, Male,North America, <=50K
>30 and <=40, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Husband, Other, Male,North America, <=50K
>25 and <=30, Private, Bachelors, Never-married, Not-in-family, White, Male,North America, <=50K
<=25,Never-worked, Some-college, Never-married, Own-child, White, Male,North America, <=50K
>40 and <=50, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Federal-gov, Bachelors, Married-civ-spouse, Wife, Asian-Pac-Islander, Female,Asia, >50K
>40 and <=50, Local-gov, Masters, Never-married, Not-in-family, White, Male,North America, >50K
>40 and <=50, State-gov, HS-grad, Separated, Unmarried, White, Male,North America, <=50K
>30 and <=40, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, HS-grad, Married-civ-spouse, Husband, White, Male,North America, <=50K
>30 and <=40, Private, Assoc-voc, Married-civ-spouse, Husband, White, Male,North America, >50K
>40 and <=50, Private, Bachelors, Married-civ-spouse, Husband, White, Male,North America, >50K
<=25, Private, 11th, Never-married, Not-in-family, White, Male,North America, <=50K
>25 and <=30, Private, 10th, Never-married, Not-in-family, White, Male,North America, <=50K
>50 and <=60, Private, Some-college, Married-civ-spouse, Husband, White, Male,North America, <=50K
