Month,DayofMonth,DayOfWeek,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-2,c-19,c-6,HA,HNL,LIH,<=200,N
c-10,c-6,c-4,WN,PHX,SAN,>300 and <=400,N
c-7,c-12,c-2,UA,ORD,DEN,>700 and <=1000,N
c-3,c-24,c-4,MQ,PIA,ORD,<=200,N
c-2,c-21,c-2,UA,MSP,DEN,>600 and <=700,N
c-12,c-31,c-6,US,PIT,LAX,>1500,N
c-1,c-14,c-6,AA,DFW,MCI,>400 and <=500,N
c-10,c-5,c-3,OO,BFL,SLC,>500 and <=600,N
c-8,c-6,c-6,WN,LAX,SMF,>300 and <=400,N
c-1,c-11,c-3,XE,PNS,IAH,>400 and <=500,N
c-10,c-23,c-1,AA,RDU,DFW,>1000 and <=1500,N
c-1,c-2,c-7,EV,CVG,DTW,>200 and <=300,N
c-3,c-29,c-2,DL,DEN,CVG,>1000 and <=1500,N
c-12,c-1,c-4,WN,HOU,LAS,>1000 and <=1500,N
c-12,c-13,c-2,UA,ORD,EWR,>700 and <=1000,N
c-2,c-23,c-3,NW,DTW,GRB,>200 and <=300,N
c-12,c-1,c-5,XE,CLE,ORF,>400 and <=500,N
c-8,c-23,c-2,OO,DEN,GJT,>200 and <=300,N
c-9,c-28,c-4,EV,ATL,STL,>400 and <=500,Y
c-7,c-18,c-1,UA,SAN,ORD,>1500,N
c-3,c-25,c-6,US,PHL,SJU,>1500,N
c-11,c-17,c-5,AS,ANC,SEA,>1000 and <=1500,N
c-6,c-3,c-5,WN,SAT,HOU,<=200,Y
c-10,c-25,c-3,US,CLT,JAX,>300 and <=400,N
c-5,c-6,c-6,AA,MIA,SJU,>1000 and <=1500,N
c-7,c-30,c-6,HP,SAN,PHX,>300 and <=400,N
c-5,c-20,c-5,CO,IAH,MSY,>300 and <=400,N
c-7,c-20,c-3,NW,MSP,RNO,>1000 and <=1500,Y
c-3,c-18,c-5,OO,MRY,SFO,<=200,Y
c-10,c-30,c-1,EV,ATL,ABY,<=200,N
c-5,c-8,c-7,WN,LAS,SAT,>1000 and <=1500,N
c-6,c-15,c-4,WN,MCO,MHT,>1000 and <=1500,N
c-10,c-8,c-7,OO,DEN,FSD,>400 and <=500,N
c-5,c-19,c-5,UA,LAX,BWI,>1500,N
c-12,c-2,c-5,CO,PHX,EWR,>1500,Y
c-11,c-18,c-6,UA,ORD,DEN,>700 and <=1000,N
c-12,c-29,c-5,NW,BZN,MSP,>700 and <=1000,N
c-10,c-5,c-4,AA,PDX,DFW,>1500,N
c-5,c-29,c-1,OO,SLC,PSC,>500 and <=600,N
c-6,c-6,c-1,F9,DEN,LAX,>700 and <=1000,N
c-9,c-5,c-1,AA,ORD,MIA,>1000 and <=1500,N
c-5,c-1,c-7,NW,MSP,BDL,>1000 and <=1500,N
c-4,c-8,c-5,AA,ORD,TUL,>500 and <=600,N
c-6,c-22,c-3,EV,TOL,ATL,>500 and <=600,N
c-12,c-15,c-4,DL,IAH,SLC,>1000 and <=1500,Y
c-6,c-21,c-2,NW,IAD,DTW,>300 and <=400,N
c-6,c-23,c-4,US,PHL,MSY,>1000 and <=1500,N
c-2,c-13,c-7,MQ,LAX,SBP,<=200,N
c-9,c-27,c-3,OO,DEN,RFD,>700 and <=1000,Y
c-1,c-11,c-2,AA,OGG,SJC,>1500,N
c-8,c-8,c-1,DL,SLC,HNL,>1500,N
c-1,c-3,c-1,NW,MEM,STL,>200 and <=300,N
c-1,c-10,c-2,UA,ORD,IAD,>500 and <=600,N
c-10,c-21,c-6,AQ,LIH,HNL,<=200,N
c-3,c-22,c-2,US,LGA,BOS,<=200,N
c-10,c-18,c-2,CO,EWR,FLL,>1000 and <=1500,N
c-11,c-27,c-1,WN,PDX,PHX,>1000 and <=1500,N
